Property_ID,Square_Footage,Bedrooms,Bathrooms,Property_Age_Years,Lot_Size_SqFt,Garage_Cars,Location_Tier,Distance_to_City_Miles,Renovation_Score,Condition,Quarter_Sold,Annual_Tax,Price
PROP-1254,1112,2,1.5,16,3890,1,Suburban Prime,11.7,7,Good,2024-Q2,4160,386467
PROP-1255,1785,1,1.5,38,7854,1,Suburban Prime,16.1,6,Good,2024-Q1,5099,469513
PROP-1256,2923,5,3.5,24,7900,2,Exurban,42.4,8,Excellent,2024-Q2,6700,559768
PROP-1257,1640,2,2.5,4,7450,1,Urban Metro,1.8,6,Good,2023-Q3,7636,683248
PROP-1258,2388,4,3.5,4,6342,1,Urban Metro,1.7,6,Good,2024-Q1,10657,926534
PROP-1259,2603,4,3.5,19,11975,2,Urban Metro,3.3,3,Fair,2024-Q1,11266,1001589
PROP-1260,1497,2,1.5,15,3128,0,Suburban Prime,13.4,5,Good,2023-Q1,5217,427944
PROP-1261,2061,2,1.5,50,9779,2,Suburban Standard,23.4,5,Good,2023-Q2,4964,415928
PROP-1262,750,1,1.5,40,2622,1,Suburban Standard,13.1,4,Fair,2023-Q4,1817,178133
PROP-1263,1434,1,1.0,36,4026,0,Suburban Prime,21.6,5,Good,2024-Q1,4034,307652
PROP-1264,1935,2,2.0,39,5227,0,Suburban Standard,12.2,4,Fair,2023-Q4,3962,365995
PROP-1265,1288,2,1.5,8,4210,1,Suburban Prime,16.4,6,Good,2024-Q2,5060,446429
PROP-1266,3161,6,5.0,4,16426,3,Suburban Standard,21.0,5,Good,2024-Q1,9849,869281
PROP-1267,1170,2,1.5,41,2982,0,Urban Metro,1.7,5,Good,2024-Q2,4879,422581
PROP-1268,1813,2,2.0,1,3899,0,Suburban Prime,10.1,10,Excellent,2024-Q1,7104,613047
PROP-1269,2184,3,3.0,8,8275,2,Emerging Tech Corridor,12.1,4,Fair,2023-Q3,7468,687097
PROP-1270,3036,5,3.5,42,10507,2,Emerging Tech Corridor,13.0,4,Fair,2023-Q1,10364,906366
PROP-1271,1166,1,1.5,35,4176,0,Suburban Standard,16.5,4,Fair,2024-Q2,3304,279508
PROP-1272,2856,4,3.5,21,11617,2,Urban Metro,3.2,8,Excellent,2023-Q2,12395,1106748
PROP-1273,2106,3,2.5,21,5703,1,Urban Metro,2.8,5,Good,2023-Q2,8433,758067
PROP-1274,1462,1,1.0,21,7158,0,Exurban,26.8,6,Good,2023-Q3,2286,225763
PROP-1275,2400,4,2.5,33,7875,1,Urban Metro,4.4,3,Fair,2023-Q3,9723,855259
PROP-1276,2229,3,2.5,54,4990,3,Urban Metro,5.1,5,Good,2023-Q2,8461,773149
PROP-1277,1709,3,2.0,28,7389,2,Urban Metro,2.5,4,Fair,2024-Q2,7189,635504
PROP-1278,2145,3,2.5,37,8551,2,Suburban Prime,21.9,6,Good,2023-Q2,7729,692820
PROP-1279,1849,2,2.0,45,5313,0,Urban Metro,1.4,7,Good,2023-Q1,6382,605634
PROP-1280,2173,4,3.5,32,8503,2,Suburban Prime,17.3,6,Good,2024-Q1,7682,710921
PROP-1281,2530,3,2.5,17,6445,2,Suburban Prime,14.3,6,Good,2023-Q1,8577,755018
PROP-1282,3130,6,4.5,6,10367,1,Exurban,36.2,5,Good,2023-Q2,7030,641784
PROP-1283,1295,1,1.5,0,6291,1,Urban Metro,3.3,6,Good,2024-Q1,5435,500235
PROP-1284,3486,5,4.0,32,7857,3,Suburban Prime,11.6,5,Good,2023-Q2,11452,1043032
PROP-1285,831,1,1.5,0,2588,1,Suburban Standard,23.4,6,Good,2023-Q1,2078,205141
PROP-1286,2001,2,2.0,23,9188,1,Suburban Standard,23.5,4,Fair,2023-Q1,5315,430567
PROP-1287,2482,3,2.0,3,12648,2,Suburban Prime,12.0,2,Needs Renovation,2024-Q2,8291,770311
PROP-1288,2282,2,2.0,3,7629,2,Emerging Tech Corridor,12.5,5,Good,2024-Q2,7914,667223
PROP-1289,1695,3,3.0,17,5972,1,Urban Metro,2.6,5,Good,2023-Q1,7664,693165
PROP-1290,1964,2,1.5,26,7355,2,Emerging Tech Corridor,11.5,4,Fair,2024-Q1,6076,560039
PROP-1291,1779,4,3.0,42,8841,1,Suburban Prime,9.7,6,Good,2024-Q2,6936,609056
PROP-1292,1716,2,2.0,31,8095,2,Urban Metro,1.8,2,Needs Renovation,2024-Q2,6695,596364
PROP-1293,2652,4,3.0,32,6311,2,Emerging Tech Corridor,7.8,3,Fair,2023-Q4,8480,762505
PROP-1294,2332,4,3.5,27,7660,1,Suburban Standard,21.5,6,Good,2023-Q4,6375,563382
PROP-1295,1649,3,3.0,41,5569,1,Urban Metro,4.2,5,Good,2024-Q2,6843,610012
PROP-1296,2684,5,4.5,40,12032,2,Urban Metro,3.0,6,Good,2023-Q2,11987,1076079
PROP-1297,2299,4,3.0,54,8850,2,Urban Metro,1.4,5,Good,2024-Q1,9628,834633
PROP-1298,2628,4,3.5,35,10575,2,Suburban Standard,18.0,9,Excellent,2023-Q3,7092,672039
PROP-1299,2509,4,4.0,5,13031,2,Urban Metro,4.4,5,Good,2024-Q2,11590,1059361
PROP-1300,1561,3,3.0,15,3207,0,Urban Metro,4.4,1,Needs Renovation,2023-Q4,6375,590358
PROP-1301,1735,2,2.5,33,4438,0,Urban Metro,1.8,4,Fair,2024-Q1,5757,542394
PROP-1302,2585,3,3.5,22,8237,2,Suburban Standard,12.1,3,Fair,2024-Q1,6465,575019
PROP-1303,2496,4,3.5,49,7444,1,Emerging Tech Corridor,11.8,8,Excellent,2023-Q4,8460,741870
PROP-1304,2086,3,2.5,41,3908,2,Emerging Tech Corridor,6.0,2,Needs Renovation,2024-Q1,6041,591968
PROP-1305,2176,3,3.0,23,4595,0,Urban Metro,1.4,4,Fair,2024-Q1,8206,745404
PROP-1306,2930,5,4.0,48,12057,3,Exurban,25.1,3,Fair,2023-Q4,6537,592278
PROP-1307,1715,3,2.5,12,8214,2,Suburban Standard,18.9,7,Good,2023-Q1,5101,463143
PROP-1308,2455,4,3.0,17,8711,2,Emerging Tech Corridor,9.5,4,Fair,2024-Q2,7775,728635
PROP-1309,1968,4,4.0,53,7150,2,Suburban Prime,16.9,10,Excellent,2023-Q2,7360,665567
PROP-1310,1958,2,1.5,12,5222,2,Suburban Prime,12.1,1,Needs Renovation,2023-Q3,6005,560638
PROP-1311,2814,4,4.0,48,12411,2,Emerging Tech Corridor,11.4,2,Needs Renovation,2023-Q2,9491,856410
PROP-1312,2636,3,3.0,36,11482,2,Urban Metro,1.8,3,Fair,2023-Q1,9295,876035
PROP-1313,2628,3,2.0,42,9987,1,Suburban Prime,19.6,7,Good,2023-Q1,8569,773952
PROP-1314,2948,4,3.5,38,7437,3,Emerging Tech Corridor,10.1,7,Good,2024-Q1,9859,899535
PROP-1315,2113,3,2.0,41,4500,1,Emerging Tech Corridor,10.3,2,Needs Renovation,2023-Q2,5980,541031
PROP-1316,2543,5,4.5,16,5132,0,Exurban,30.2,1,Needs Renovation,2023-Q1,5141,451012
PROP-1317,1898,3,3.0,14,7241,0,Suburban Standard,13.2,6,Good,2023-Q2,5762,515722
PROP-1318,2310,3,2.5,17,10637,2,Urban Metro,3.3,3,Fair,2023-Q1,9918,864301
PROP-1319,2015,4,3.5,22,9507,2,Urban Metro,4.1,3,Fair,2023-Q3,9086,821000
PROP-1320,2163,4,4.0,53,7302,1,Suburban Prime,9.3,1,Needs Renovation,2023-Q1,7325,637455
PROP-1321,2486,4,3.0,50,11103,1,Suburban Prime,21.3,1,Needs Renovation,2023-Q2,8555,733780
PROP-1322,1568,2,1.5,29,7870,0,Urban Metro,5.9,4,Fair,2024-Q1,5963,525110
PROP-1323,3460,5,4.5,33,9465,3,Urban Metro,3.7,2,Needs Renovation,2023-Q2,13563,1211604
PROP-1324,1446,2,2.5,3,4559,1,Suburban Standard,27.2,4,Fair,2023-Q4,3978,344110
PROP-1325,1310,2,2.0,2,6506,0,Emerging Tech Corridor,6.6,7,Good,2023-Q2,5149,451506
PROP-1326,2852,5,4.5,6,8413,2,Exurban,25.6,4,Fair,2023-Q3,6911,590303
PROP-1327,2614,5,4.5,17,12827,2,Emerging Tech Corridor,5.4,6,Good,2024-Q2,10839,946514
PROP-1328,2505,3,2.5,41,12864,2,Emerging Tech Corridor,10.3,2,Needs Renovation,2023-Q3,8226,712923
PROP-1329,2508,3,2.5,6,10157,1,Suburban Standard,13.0,6,Good,2023-Q3,6940,618490
PROP-1330,2092,3,3.0,39,9575,1,Exurban,49.0,4,Fair,2023-Q1,3989,347095
PROP-1331,1516,1,2.0,5,6592,0,Suburban Standard,14.3,6,Good,2023-Q3,4398,384090
PROP-1332,2149,3,3.0,21,8979,1,Emerging Tech Corridor,7.7,3,Fair,2023-Q2,6957,653521
PROP-1333,1659,2,1.5,0,4717,1,Exurban,45.6,8,Excellent,2024-Q2,3605,293325
PROP-1334,2733,4,4.0,3,5449,3,Exurban,30.5,3,Fair,2024-Q1,5514,537052
PROP-1335,2004,2,1.5,45,5944,1,Suburban Prime,11.4,4,Fair,2023-Q3,6021,518588
PROP-1336,1563,2,2.0,48,6357,0,Urban Metro,4.2,9,Excellent,2023-Q2,6052,533270
PROP-1337,1891,2,2.0,51,4063,0,Urban Metro,2.4,5,Good,2023-Q1,6079,550465
PROP-1338,2368,3,3.0,49,4358,2,Urban Metro,2.1,4,Fair,2023-Q1,8887,783065
PROP-1339,1733,1,1.5,42,3942,0,Urban Metro,2.3,9,Excellent,2024-Q1,6154,538338
PROP-1340,1565,2,2.0,28,6625,1,Urban Metro,3.5,4,Fair,2024-Q1,5788,551820
PROP-1341,2258,4,3.5,20,11532,1,Suburban Prime,21.5,2,Needs Renovation,2023-Q2,8674,736582
PROP-1342,2259,4,3.5,25,11616,2,Suburban Prime,19.7,10,Excellent,2024-Q1,9429,839958
PROP-1343,1770,2,2.0,13,6158,1,Suburban Standard,16.6,4,Fair,2024-Q1,5530,431834
PROP-1344,1793,2,1.0,8,8527,3,Urban Metro,2.8,7,Good,2023-Q1,8015,694546
PROP-1345,2250,4,3.0,46,9686,1,Suburban Standard,19.4,3,Fair,2023-Q2,5985,533069
PROP-1346,1158,1,1.5,11,4057,0,Suburban Standard,27.7,6,Good,2024-Q2,3017,287940
PROP-1347,1185,2,1.5,41,4440,2,Suburban Standard,14.8,5,Good,2024-Q1,3118,281378
PROP-1348,1633,3,3.0,50,3701,1,Exurban,33.9,10,Excellent,2023-Q2,3437,302862
PROP-1349,1961,4,3.0,50,9781,2,Urban Metro,4.6,5,Good,2023-Q3,8830,749224
PROP-1350,2302,3,3.5,5,6898,1,Urban Metro,5.8,1,Needs Renovation,2023-Q1,9183,787128
PROP-1351,3058,4,4.0,19,10143,2,Suburban Prime,10.2,6,Good,2024-Q2,11398,1005592
PROP-1352,2657,3,2.5,23,10850,2,Urban Metro,2.1,3,Fair,2023-Q1,10849,921294
PROP-1353,1996,2,2.0,26,5858,1,Suburban Standard,15.6,7,Good,2023-Q1,4397,446663
PROP-1354,2087,3,2.5,37,5560,0,Suburban Prime,8.3,7,Good,2023-Q4,7299,639336
PROP-1355,1448,2,1.5,7,5713,3,Suburban Prime,16.5,5,Good,2023-Q2,6123,513104
PROP-1356,2087,4,3.5,0,3933,2,Urban Metro,4.4,7,Good,2023-Q3,9600,842541
PROP-1357,1912,2,1.5,53,8126,2,Suburban Prime,16.4,3,Fair,2024-Q1,5132,493993
PROP-1358,2309,4,3.0,48,8191,3,Suburban Standard,13.1,5,Good,2023-Q3,6609,552946
PROP-1359,1562,2,2.0,48,6028,1,Suburban Standard,13.1,4,Fair,2023-Q2,4510,382299
PROP-1360,2437,4,3.5,23,9622,1,Urban Metro,2.1,6,Good,2023-Q1,10870,961422
PROP-1361,3096,4,3.0,46,11120,3,Urban Metro,2.5,1,Needs Renovation,2023-Q4,11733,1045301
PROP-1362,2029,1,1.5,6,7670,2,Urban Metro,4.9,6,Good,2023-Q2,8481,703908
PROP-1363,2361,4,3.0,18,9738,1,Urban Metro,1.8,2,Needs Renovation,2024-Q2,9724,856346
PROP-1364,2548,4,3.5,21,11110,2,Emerging Tech Corridor,5.4,6,Good,2024-Q2,9510,855614
PROP-1365,1839,2,2.0,54,7858,1,Urban Metro,3.0,1,Needs Renovation,2023-Q2,6551,606723
PROP-1366,2245,3,2.5,34,10678,2,Suburban Standard,18.7,7,Good,2024-Q1,6450,555617
PROP-1367,2108,3,3.0,29,5152,2,Emerging Tech Corridor,9.1,3,Fair,2023-Q3,7391,633566
PROP-1368,2163,2,1.5,28,6843,2,Urban Metro,5.1,5,Good,2023-Q3,7371,656690
PROP-1369,1597,2,2.0,21,8020,0,Suburban Prime,9.4,4,Fair,2024-Q1,5439,500570
PROP-1370,2115,4,3.0,10,6658,2,Exurban,42.6,6,Good,2023-Q4,4664,380804
PROP-1371,2423,3,2.5,19,5390,3,Emerging Tech Corridor,8.0,4,Fair,2023-Q1,7680,709573
PROP-1372,3043,5,4.0,28,10913,2,Suburban Prime,12.3,6,Good,2023-Q1,11734,995010
PROP-1373,2723,3,2.0,50,5915,2,Emerging Tech Corridor,13.4,4,Fair,2024-Q2,7483,687856
PROP-1374,3499,6,4.5,40,8711,3,Emerging Tech Corridor,7.2,6,Good,2023-Q4,11567,1067054
PROP-1375,1601,2,2.0,41,8316,1,Suburban Prime,17.0,1,Needs Renovation,2024-Q1,4375,421469
PROP-1376,2667,3,2.5,33,9709,1,Emerging Tech Corridor,7.5,4,Fair,2023-Q2,8026,746373
PROP-1377,2219,4,3.0,0,6137,1,Suburban Prime,15.1,5,Good,2023-Q3,8075,727356
PROP-1378,3523,5,4.0,30,18257,3,Suburban Prime,19.0,1,Needs Renovation,2023-Q2,12263,1107481
PROP-1379,1574,2,2.0,29,8005,1,Exurban,47.0,3,Fair,2023-Q3,3000,240490
PROP-1380,1554,2,2.0,47,5125,1,Emerging Tech Corridor,12.5,8,Excellent,2023-Q2,5634,479475
PROP-1381,1710,3,2.5,17,4591,3,Suburban Prime,16.2,9,Excellent,2024-Q1,6359,573801
PROP-1382,750,1,1.0,54,3487,0,Urban Metro,2.2,6,Good,2024-Q1,3622,240282
PROP-1383,1758,2,1.5,16,7441,1,Suburban Standard,22.6,4,Fair,2023-Q4,4255,386338
PROP-1384,1606,2,1.5,37,6641,0,Suburban Standard,23.4,4,Fair,2023-Q2,3448,310664
PROP-1385,2197,4,3.0,13,10625,2,Suburban Standard,12.2,6,Good,2023-Q2,6177,585819
PROP-1386,2322,3,2.5,22,9622,1,Exurban,36.0,2,Needs Renovation,2023-Q4,4362,391678
PROP-1387,3319,5,3.5,24,9176,3,Emerging Tech Corridor,12.6,9,Excellent,2023-Q4,11285,999711
PROP-1388,2717,4,3.0,14,11300,3,Suburban Prime,14.9,3,Fair,2024-Q1,9540,883562
PROP-1389,1725,2,2.0,45,4898,3,Urban Metro,2.6,10,Excellent,2024-Q1,7319,666840
PROP-1390,1516,1,1.5,21,6642,1,Suburban Prime,20.2,5,Good,2024-Q2,4703,411161
PROP-1391,2419,2,1.5,2,9451,1,Suburban Standard,14.5,6,Good,2023-Q2,6544,598411
PROP-1392,1241,2,1.5,54,2560,1,Suburban Standard,15.3,1,Needs Renovation,2024-Q1,2157,212325
PROP-1393,3290,6,4.5,18,11658,2,Suburban Prime,17.6,8,Excellent,2024-Q1,12695,1112556
PROP-1394,2866,3,2.5,43,8504,2,Suburban Prime,12.9,4,Fair,2023-Q2,8920,830805
PROP-1395,1795,2,1.5,33,5236,1,Suburban Prime,18.0,6,Good,2023-Q4,5746,542178
PROP-1396,986,2,2.0,34,3793,0,Suburban Prime,10.2,7,Good,2023-Q2,3527,310198
PROP-1397,2980,6,4.0,49,8629,2,Suburban Prime,11.5,3,Fair,2023-Q1,10468,912042
PROP-1398,2025,3,2.5,0,8993,2,Urban Metro,1.8,5,Good,2023-Q2,9214,814525
PROP-1399,2904,4,3.5,51,5926,3,Suburban Prime,21.3,5,Good,2023-Q1,9071,815980
PROP-1400,1063,1,1.5,20,4300,0,Suburban Prime,13.7,4,Fair,2023-Q2,3488,319661
PROP-1401,1710,3,3.5,28,7782,1,Suburban Standard,17.4,5,Good,2023-Q1,5077,426327
PROP-1402,2103,3,2.5,5,8596,2,Urban Metro,1.1,4,Fair,2023-Q1,9689,842125
PROP-1403,2130,3,2.0,36,7434,0,Emerging Tech Corridor,6.4,4,Fair,2023-Q2,6764,602633
PROP-1404,1807,2,2.0,0,9091,2,Suburban Standard,18.7,6,Good,2024-Q2,5478,496585
PROP-1405,2504,3,2.0,50,7060,1,Suburban Standard,13.1,6,Good,2024-Q1,5721,509872
PROP-1406,1406,2,2.0,0,2622,0,Suburban Standard,20.2,3,Fair,2023-Q3,3149,300676
PROP-1407,2007,4,3.0,26,6560,1,Suburban Prime,14.4,8,Excellent,2024-Q1,7810,701417
PROP-1408,2178,3,3.0,20,4164,2,Suburban Prime,18.7,7,Good,2023-Q1,7654,696530
PROP-1409,2434,3,2.5,52,12275,1,Exurban,41.5,5,Good,2023-Q2,4420,397414
PROP-1410,2562,4,3.5,15,6440,3,Emerging Tech Corridor,9.0,5,Good,2023-Q2,9014,817057
PROP-1411,1368,1,1.0,43,6131,1,Exurban,30.6,4,Fair,2023-Q2,2196,182087
PROP-1412,1102,2,2.5,53,4885,0,Suburban Standard,23.6,6,Good,2023-Q2,2851,232650
PROP-1413,2930,4,3.0,39,7443,2,Urban Metro,4.5,6,Good,2024-Q2,10798,974302
PROP-1414,2316,3,3.5,25,9060,1,Urban Metro,1.8,3,Fair,2023-Q3,8811,808456
PROP-1415,1613,4,3.5,15,3167,0,Suburban Standard,26.6,6,Good,2023-Q4,5018,428989
PROP-1416,3108,5,4.0,27,10704,3,Suburban Prime,8.9,4,Fair,2023-Q1,11380,1011178
PROP-1417,2175,3,2.5,0,4023,1,Suburban Prime,8.8,1,Needs Renovation,2023-Q3,7410,671487
PROP-1418,2866,4,3.5,35,14134,3,Emerging Tech Corridor,6.7,6,Good,2024-Q1,10985,943975
PROP-1419,2143,4,2.5,9,10969,1,Suburban Prime,20.7,6,Good,2023-Q4,8011,730474
PROP-1420,3439,5,4.0,42,8789,2,Suburban Prime,15.3,5,Good,2023-Q4,10664,1005568
PROP-1421,3240,4,3.5,16,8124,2,Emerging Tech Corridor,12.1,5,Good,2023-Q2,10091,919982
PROP-1422,1938,3,2.5,22,8454,2,Emerging Tech Corridor,7.1,9,Excellent,2023-Q3,7903,662336
PROP-1423,2731,4,2.5,6,7268,2,Suburban Prime,14.9,5,Good,2024-Q1,9773,881129
PROP-1424,2519,5,4.0,43,12200,2,Emerging Tech Corridor,8.2,6,Good,2023-Q2,9544,865950
PROP-1425,2989,5,4.5,52,11212,2,Emerging Tech Corridor,12.5,2,Needs Renovation,2023-Q2,9804,874657
PROP-1426,1472,2,2.5,6,4405,0,Suburban Prime,8.3,3,Fair,2024-Q2,5440,458694
PROP-1427,2545,5,4.0,43,11786,3,Urban Metro,2.2,4,Fair,2023-Q1,10956,980515
PROP-1428,2787,4,3.5,14,9692,1,Urban Metro,1.8,5,Good,2023-Q4,11209,984984
PROP-1429,956,2,2.0,33,4683,1,Suburban Prime,20.0,6,Good,2024-Q1,3543,321488
PROP-1430,1330,2,1.0,45,6590,1,Suburban Prime,14.5,4,Fair,2023-Q4,4679,401737
PROP-1431,774,1,1.0,44,1828,1,Exurban,35.1,4,Fair,2023-Q3,1398,120000
PROP-1432,1924,2,2.5,3,3478,3,Emerging Tech Corridor,9.0,4,Fair,2023-Q1,6758,614082
PROP-1433,2566,4,3.0,13,13203,2,Emerging Tech Corridor,13.7,4,Fair,2023-Q2,9180,812790
PROP-1434,3076,4,3.0,13,15013,2,Exurban,46.3,9,Excellent,2023-Q1,6145,563262
PROP-1435,2148,3,2.5,15,4271,2,Emerging Tech Corridor,11.4,6,Good,2023-Q2,7155,675837
PROP-1436,3158,4,4.0,6,14628,2,Suburban Prime,12.1,3,Fair,2023-Q1,11665,1042093
PROP-1437,1202,2,2.5,31,4034,2,Urban Metro,1.8,6,Good,2023-Q2,5179,497020
PROP-1438,992,2,3.0,18,2659,1,Suburban Standard,26.7,6,Good,2023-Q4,3020,253661
PROP-1439,2063,2,2.0,1,9877,1,Suburban Prime,13.9,6,Good,2023-Q4,7608,680376
PROP-1440,2349,3,2.5,9,5798,1,Suburban Prime,11.9,3,Fair,2023-Q4,8012,677290
PROP-1441,2078,4,2.5,49,10433,1,Suburban Standard,19.5,5,Good,2023-Q4,5441,494697
PROP-1442,756,1,2.0,16,1889,0,Exurban,47.9,2,Needs Renovation,2023-Q1,1337,120000
PROP-1443,2042,3,2.0,36,7936,2,Suburban Prime,13.4,7,Good,2023-Q2,7325,693403
PROP-1444,1252,1,1.5,11,3203,2,Emerging Tech Corridor,10.1,6,Good,2023-Q4,3937,381121
PROP-1445,2535,4,3.0,5,9266,2,Suburban Prime,19.2,5,Good,2023-Q1,8911,840653
PROP-1446,2338,3,2.5,21,9645,1,Suburban Standard,18.8,4,Fair,2023-Q2,6040,510426
PROP-1447,1489,3,2.5,31,3643,1,Urban Metro,2.2,3,Fair,2023-Q1,5880,537322
PROP-1448,1765,3,2.5,40,6302,0,Emerging Tech Corridor,14.0,2,Needs Renovation,2024-Q2,5919,492946
PROP-1449,1411,3,2.5,19,4790,2,Urban Metro,5.8,9,Excellent,2023-Q4,6506,652752
PROP-1450,2059,3,2.5,0,4203,2,Suburban Standard,25.5,3,Fair,2023-Q3,5950,489796
PROP-1451,2720,4,3.5,53,12463,3,Urban Metro,4.4,2,Needs Renovation,2023-Q1,10712,958264
PROP-1452,1459,2,1.5,46,4291,0,Suburban Prime,12.1,9,Excellent,2023-Q4,4662,407220
PROP-1453,2427,3,2.5,52,9109,2,Suburban Prime,20.8,5,Good,2024-Q1,7104,662799
PROP-1454,1755,3,3.0,5,6230,2,Suburban Prime,11.9,7,Good,2023-Q2,7802,682537
PROP-1455,1584,2,1.5,18,5615,2,Urban Metro,5.0,1,Needs Renovation,2024-Q2,5926,539147
PROP-1456,2030,3,2.5,17,4394,1,Suburban Prime,20.9,5,Good,2023-Q4,6406,603978
PROP-1457,1427,3,2.5,5,4623,1,Suburban Standard,21.6,4,Fair,2024-Q1,4036,392782
PROP-1458,1740,2,2.5,44,5808,1,Suburban Standard,24.8,6,Good,2023-Q1,3920,382880
PROP-1459,1321,2,2.0,32,5672,2,Urban Metro,5.0,1,Needs Renovation,2023-Q1,5302,463274
PROP-1460,3377,6,4.5,22,15723,2,Suburban Standard,15.1,5,Good,2024-Q1,9779,890171
PROP-1461,2122,3,3.0,22,7751,2,Urban Metro,4.3,7,Good,2024-Q2,8539,806397
PROP-1462,1645,1,1.0,25,3446,1,Suburban Prime,9.3,5,Good,2024-Q1,4617,402407
PROP-1463,2239,3,3.0,12,5833,3,Suburban Prime,15.1,5,Good,2023-Q2,7860,760021
PROP-1464,2026,4,3.5,6,4782,2,Suburban Standard,14.6,2,Needs Renovation,2023-Q1,6084,507650
PROP-1465,1956,3,2.5,14,4349,1,Suburban Prime,13.8,3,Fair,2024-Q1,7083,579252
PROP-1466,2499,3,2.5,43,7607,2,Exurban,45.8,6,Good,2023-Q3,4108,401966
PROP-1467,2592,4,3.0,26,6687,2,Suburban Prime,21.8,6,Good,2023-Q3,8978,773466
PROP-1468,1755,3,3.0,25,4461,1,Urban Metro,2.6,9,Excellent,2024-Q1,8246,726916
PROP-1469,1725,3,3.0,32,3425,0,Suburban Prime,15.4,6,Good,2023-Q2,5782,529729
PROP-1470,1921,3,2.5,14,3573,1,Emerging Tech Corridor,9.6,5,Good,2023-Q1,6281,572978
PROP-1471,750,1,1.5,35,1612,1,Suburban Standard,27.3,7,Good,2023-Q3,1588,124333
PROP-1472,1115,1,1.0,44,2659,0,Suburban Standard,19.7,2,Needs Renovation,2024-Q1,1878,168772
PROP-1473,2988,4,3.0,54,9756,2,Exurban,42.5,5,Good,2024-Q1,4182,442911
PROP-1474,3169,6,4.5,26,11204,3,Exurban,48.0,4,Fair,2023-Q4,7500,614143
PROP-1475,1938,3,2.0,4,4414,1,Suburban Standard,18.0,2,Needs Renovation,2024-Q1,5308,462410
PROP-1476,2474,4,3.0,1,8026,3,Urban Metro,5.5,6,Good,2023-Q2,10923,976732
PROP-1477,2302,4,3.0,54,6818,0,Emerging Tech Corridor,13.3,5,Good,2023-Q3,7178,660185
PROP-1478,4101,6,5.0,32,9939,3,Urban Metro,5.7,5,Good,2023-Q4,15692,1406135
PROP-1479,2827,4,3.0,15,5154,0,Suburban Standard,16.3,5,Good,2023-Q3,7863,668073
PROP-1480,2016,3,1.5,22,6829,3,Suburban Standard,18.4,5,Good,2023-Q3,5707,502628
PROP-1481,1478,2,1.0,37,6105,0,Emerging Tech Corridor,12.8,2,Needs Renovation,2023-Q2,4223,367061
PROP-1482,1055,1,1.0,54,2710,0,Suburban Prime,13.0,6,Good,2024-Q1,2165,226802
PROP-1483,2232,3,3.0,15,5017,1,Suburban Standard,21.6,5,Good,2023-Q2,5407,492211
PROP-1484,1608,1,1.0,13,7744,0,Exurban,28.0,7,Good,2024-Q1,3063,272119
PROP-1485,1175,2,1.5,28,3213,0,Urban Metro,1.3,3,Fair,2023-Q4,4888,417858
PROP-1486,1679,2,1.5,25,4298,1,Suburban Prime,13.8,3,Fair,2023-Q2,4668,427998
PROP-1487,1396,2,2.5,34,6580,1,Suburban Standard,21.3,6,Good,2023-Q2,4061,337809
PROP-1488,3196,5,4.0,14,14631,2,Exurban,34.8,7,Good,2024-Q2,7102,664823
PROP-1489,2673,4,3.5,2,8886,2,Urban Metro,3.9,5,Good,2023-Q1,11661,1039380
PROP-1490,2094,3,2.5,22,7252,1,Urban Metro,3.6,6,Good,2023-Q2,8704,779784
PROP-1491,3061,4,2.5,28,7775,1,Urban Metro,4.4,10,Excellent,2024-Q2,11031,1025518
PROP-1492,2150,4,3.5,33,4442,0,Urban Metro,4.2,10,Excellent,2023-Q1,9346,835743
PROP-1493,1540,1,1.5,32,5774,1,Exurban,35.6,6,Good,2024-Q1,2491,238024
PROP-1494,3090,5,4.0,40,6595,2,Suburban Standard,18.8,6,Good,2024-Q1,8178,692354
PROP-1495,2450,5,5.0,40,8152,1,Suburban Standard,14.3,3,Fair,2024-Q1,6766,615176
PROP-1496,1425,1,1.0,22,7121,0,Suburban Prime,15.2,7,Good,2024-Q2,4217,367178
PROP-1497,1976,2,2.5,6,9958,1,Emerging Tech Corridor,10.3,5,Good,2024-Q2,6835,643268
PROP-1498,1530,2,2.0,2,3999,2,Urban Metro,3.4,9,Excellent,2023-Q1,7256,641575
PROP-1499,1201,2,2.0,31,4710,1,Suburban Prime,12.6,2,Needs Renovation,2024-Q1,3553,328413
PROP-1500,2702,4,3.5,30,9218,2,Suburban Prime,18.1,5,Good,2023-Q3,9104,833726
PROP-1501,3341,5,4.0,17,15961,2,Urban Metro,1.4,5,Good,2023-Q2,14888,1253434
PROP-1502,1190,2,1.5,42,3240,0,Suburban Prime,20.8,5,Good,2024-Q2,3081,284620
PROP-1503,2465,4,3.5,6,4468,1,Suburban Prime,8.3,3,Fair,2024-Q2,8066,725885
PROP-1504,1677,3,2.0,40,3945,1,Urban Metro,5.8,5,Good,2024-Q2,6219,531130
PROP-1505,1783,2,2.0,0,5328,2,Urban Metro,3.3,6,Good,2023-Q1,7425,683547
PROP-1506,1714,3,2.5,13,4925,1,Emerging Tech Corridor,8.7,6,Good,2024-Q1,6307,552352
PROP-1507,1538,3,2.0,51,6906,0,Urban Metro,2.3,3,Fair,2023-Q3,6127,533464
PROP-1508,2131,3,2.5,31,8766,2,Exurban,25.3,6,Good,2023-Q2,4512,396317
PROP-1509,1559,2,2.5,5,4394,2,Urban Metro,2.4,4,Fair,2023-Q2,7440,602852
